A,B,C
2020?12?21?,1.725,1.71%
2020?12?18?,1.696,-1.22%
2020?12?17?,1.717,0.76%
2020?12?16?,1.704,-1.79%
2020?12?15?,1.735,-1.87%
2020?12?14?,1.768,0.40%
2020?12?11?,1.761,0.06%
2020?12?10?,1.76,1.85%
2020?12?9?,1.728,-2.32%
2020?12?8?,1.769,0.17%
2020?12?7?,1.766,1.26%
2020?12?4?,1.744,-0.29%
2020?12?3?,1.749,-2.29%
2020?12?2?,1.79,0.79%
2020?12?1?,1.776,1.02%
2020?11?30?,1.758,1.50%
2020?11?27?,1.732,0.52%
2020?11?26?,1.723,-1.37%
2020?11?25?,1.747,-0.29%
2020?11?24?,1.752,0.86%
2020?11?23?,1.737,0.29%
2020?11?20?,1.732,-0.86%
2020?11?19?,1.747,-0.11%
2020?11?18?,1.749,-0.29%
2020?11?17?,1.754,1.62%
2020?11?16?,1.726,-1.88%
2020?11?13?,1.759,1.68%
2020?11?12?,1.73,0.64%
2020?11?11?,1.719,-6.42%
2020?11?10?,1.837,-3.52%
2020?11?9?,1.904,8.74%
2020?11?6?,1.751,2.28%
2020?11?5?,1.712,1.78%
2020?11?4?,1.682,-1.29%
2020?11?3?,1.704,1.55%
2020?11?2?,1.678,2.69%
2020?10?30?,1.634,3.09%
2020?10?29?,1.585,0.19%
2020?10?28?,1.582,0.19%
2020?10?27?,1.579,1.41%
2020?10?26?,1.557,0.91%
2020?10?23?,1.543,-2.28%
2020?10?22?,1.579,-0.50%
2020?10?21?,1.587,-2.40%
2020?10?20?,1.626,0.00%
2020?10?19?,1.626,-0.91%
2020?10?16?,1.641,-0.12%
2020?10?15?,1.643,-0.18%
2020?10?14?,1.646,-2.66%
2020?10?13?,1.691,-1.46%
2020?10?12?,1.716,6.06%
2020?10?9?,1.618,2.47%
2020?10?8?,1.579,0.00%
2020?10?7?,1.579,0.00%
2020?10?6?,1.579,0.00%
2020?10?5?,1.579,0.00%
2020?10?2?,1.579,0.00%
2020?10?1?,1.579,0.00%
2020?9?30?,1.579,0.13%
2020?9?29?,1.577,1.48%
2020?9?28?,1.554,-1.83%
2020?9?25?,1.583,-1.80%
2020?9?24?,1.612,-1.77%
2020?9?23?,1.641,0.92%
2020?9?22?,1.626,-1.39%
2020?9?21?,1.649,-1.20%
2020?9?18?,1.669,0.72%
2020?9?17?,1.657,1.97%
2020?9?16?,1.625,-0.37%
2020?9?15?,1.631,1.68%
2020?9?14?,1.604,0.63%
2020?9?11?,1.594,3.10%
2020?9?10?,1.546,-0.51%
2020?9?9?,1.554,-4.55%
2020?9?8?,1.628,-1.81%
2020?9?7?,1.658,-6.01%
2020?9?4?,1.764,2.14%
2020?9?3?,1.727,1.71%
2020?9?2?,1.698,-2.13%
2020?9?1?,1.735,-0.63%
2020?8?31?,1.746,-0.91%
2020?8?28?,1.762,-0.11%
2020?8?27?,1.764,3.46%
2020?8?26?,1.705,-4.59%
2020?8?25?,1.787,-1.22%
2020?8?24?,1.809,-0.33%
2020?8?21?,1.815,-0.55%
2020?8?20?,1.825,-0.65%
2020?8?19?,1.837,-3.62%
2020?8?18?,1.906,-0.94%
2020?8?17?,1.924,0.52%
2020?8?14?,1.914,0.90%
2020?8?13?,1.897,-1.04%
2020?8?12?,1.917,0.79%
2020?8?11?,1.902,-2.11%
2020?8?10?,1.943,0.36%
2020?8?7?,1.936,-4.30%
2020?8?6?,2.023,-0.49%
2020?8?5?,2.033,1.30%
2020?8?4?,2.007,-2.15%
2020?8?3?,2.051,3.07%
2020?7?31?,1.99,3.54%
2020?7?30?,1.922,0.26%
2020?7?29?,1.917,4.87%
2020?7?28?,1.828,0.22%
2020?7?27?,1.824,-0.27%
2020?7?24?,1.829,-6.06%
2020?7?23?,1.947,-0.92%
2020?7?22?,1.965,0.72%
2020?7?21?,1.951,0.15%
2020?7?20?,1.948,2.31%
2020?7?17?,1.904,-0.68%
2020?7?16?,1.917,-8.19%
2020?7?15?,2.088,-6.91%
2020?7?14?,2.243,2.05%
2020?7?13?,2.198,3.92%
2020?7?10?,2.115,2.27%
2020?7?9?,2.068,2.83%
2020?7?8?,2.011,3.02%
2020?7?7?,1.952,2.09%
2020?7?6?,1.912,8.95%
2020?7?3?,1.755,-0.79%
2020?7?2?,1.769,1.14%
2020?7?1?,1.749,1.10%
2020?6?30?,1.73,2.49%
2020?6?29?,1.688,-2.54%
2020?6?26?,1.732,0.00%
2020?6?25?,1.732,0.00%
2020?6?24?,1.732,2.30%
2020?6?23?,1.693,0.36%
2020?6?22?,1.687,4.98%
2020?6?19?,1.607,2.03%
2020?6?18?,1.575,2.94%
2020?6?17?,1.53,-1.23%
2020?6?16?,1.549,1.31%
2020?6?15?,1.529,-3.59%
2020?6?12?,1.586,-1.00%
2020?6?11?,1.602,-0.19%
2020?6?10?,1.605,0.25%
2020?6?9?,1.601,2.83%
2020?6?8?,1.557,-1.21%
2020?6?5?,1.576,2.14%
2020?6?4?,1.543,-2.09%
2020?6?3?,1.576,-0.82%
2020?6?2?,1.589,0.89%
2020?6?1?,1.575,4.44%
2020?5?29?,1.508,-0.53%
2020?5?28?,1.516,-1.30%
2020?5?27?,1.536,-2.48%
2020?5?26?,1.575,3.69%
2020?5?25?,1.519,-2.06%
2020?5?22?,1.551,-1.59%
2020?5?21?,1.576,-3.25%
2020?5?20?,1.629,-3.55%
2020?5?19?,1.689,5.83%
2020?5?18?,1.596,-4.20%
2020?5?15?,1.666,4.85%
2020?5?14?,1.589,-0.94%
2020?5?13?,1.604,0.63%
2020?5?12?,1.594,0.38%
2020?5?11?,1.588,-1.12%
2020?5?8?,1.606,1.07%
2020?5?7?,1.589,-0.75%
2020?5?6?,1.601,7.67%
2020?5?5?,1.487,0.00%
2020?5?4?,1.487,0.00%
2020?5?1?,1.487,0.00%
2020?4?30?,1.487,8.38%
2020?4?29?,1.372,-0.29%
2020?4?28?,1.376,4.88%
2020?4?27?,1.312,0.46%
2020?4?24?,1.306,-1.66%
2020?4?23?,1.328,-1.92%
2020?4?22?,1.354,0.59%
2020?4?21?,1.346,-2.18%
2020?4?20?,1.376,0.73%
2020?4?17?,1.366,2.48%
2020?4?16?,1.333,1.76%
2020?4?15?,1.31,1.47%
2020?4?14?,1.291,3.20%
2020?4?13?,1.251,-3.25%
2020?4?10?,1.293,-5.14%
2020?4?9?,1.363,-1.23%
2020?4?8?,1.38,-0.14%
2020?4?7?,1.382,1.62%
2020?4?6?,1.36,0.00%
2020?4?3?,1.36,-0.51%
2020?4?2?,1.367,8.15%
2020?4?1?,1.264,0.56%
2020?3?31?,1.257,-0.79%
2020?3?30?,1.267,-1.17%
2020?3?27?,1.282,-0.47%
2020?3?26?,1.288,-1.68%
2020?3?25?,1.31,1.95%
2020?3?24?,1.285,1.34%
2020?3?23?,1.268,-7.38%
2020?3?20?,1.369,-1.65%
2020?3?19?,1.392,2.88%
2020?3?18?,1.353,-1.74%
2020?3?17?,1.377,1.10%
2020?3?16?,1.362,-6.65%
2020?3?13?,1.459,1.89%
2020?3?12?,1.432,-0.14%
2020?3?11?,1.434,-4.46%
2020?3?10?,1.501,6.61%
2020?3?9?,1.408,-7.19%
2020?3?6?,1.517,-1.88%
2020?3?5?,1.546,1.38%
2020?3?4?,1.525,-4.15%
2020?3?3?,1.591,0.95%
2020?3?2?,1.576,-0.25%
2020?2?28?,1.58,-3.89%
